street_name,long_snode,lat_snode,long_enode,lat_enode,full_geometry,maxspeed_kmh,oneway,highway_type
Quốc lộ 51,107.0038514,10.7135146,106.9992548,10.7199213,"10.7135146,107.0038514;10.7144182,107.0032287;10.7145551,107.0031344;10.7148042,107.0029627;10.7151536,107.0027183;10.7158159,107.0022551;10.7165894,107.0016544;10.7167579,107.0015111;10.7173872,107.000976;10.7178368,107.0005913;10.7182921,107.0002018;10.7185018,107.0000497;10.7187923,106.999839;10.719363,106.9995062;10.7199213,106.9992548",90,yes,trunk
Lê Đức Anh,106.6012621,10.7246673,106.6017813,10.7277248,"10.7246673,106.6012621;10.7258087,106.6014811;10.7277248,106.6017813",,yes,trunk
way_32563467,106.7675077,10.5331746,106.7673759,10.5342716,"10.5331746,106.7675077;10.5335298,106.7674795;10.5339109,106.7674263;10.5342716,106.7673759",,,tertiary
Tam Thôn Hiệp,106.8404551,10.5875938,106.8301841,10.5888989,"10.5875938,106.8404551;10.5876789,106.8400752;10.5881868,106.839127;10.5882805,106.8388662;10.5883495,106.8385752;10.5883347,106.8383194;10.5874471,106.8341805;10.5873632,106.833714;10.5873624,106.8336901;10.587355,106.8334619;10.5874816,106.8332324;10.5876394,106.8330116;10.5879573,106.8327634;10.5882114,106.8325752;10.5882432,106.832526;10.5883495,106.8323695;10.5884728,106.8320936;10.5887095,106.8314865;10.5888279,106.8311805;10.5888815,106.8309791;10.588892,106.8309397;10.5889035,106.8307557;10.5889265,106.8303879;10.5888989,106.8301841",,,tertiary
Đường Nguyễn Văn Tạo,106.7358981,10.6320189,106.7420852,10.6006577,"10.6320189,106.7358981;10.6315713,106.7359994;10.6308754,106.7361552;10.6303508,106.7362727;10.6302972,106.7362843;10.6294582,106.7364766;10.6293343,106.7364969;10.6289921,106.7365762;10.6282511,106.7367277;10.6279919,106.7367908;10.6277126,106.7368656;10.6274217,106.7369255;10.6271108,106.7369976;10.6269826,106.7370242;10.6269154,106.7370384;10.6266702,106.7371039;10.6261596,106.7372403;10.6258327,106.7373277;10.6254326,106.7374378;10.625393,106.7374453;10.6249077,106.7375368;10.6244192,106.7376228;10.6239434,106.7377043;10.6234079,106.7378198;10.6233523,106.7378319;10.6233218,106.7378393;10.6225762,106.7380195;10.6218187,106.7381789;10.621141,106.7383216;10.6208956,106.7383769;10.6207466,106.7384104;10.6201766,106.7385388;10.6197579,106.7386382;10.6183473,106.7389732;10.6181189,106.7390122;10.6178872,106.7390518;10.6175245,106.7390886;10.6166478,106.7391776;10.6165019,106.7391931;10.6158186,106.7393177;10.6152297,106.7394338;10.6147718,106.73945;10.6137501,106.7394862;10.6132776,106.7395124;10.6122667,106.7395686;10.6119661,106.739628;10.6110557,106.7397933;10.6104132,106.7399203;10.6090025,106.740199;10.6084598,106.7403703;10.6078377,106.7405691;10.6064764,106.7406723;10.6049545,106.7410442;10.6049239,106.7410517;10.6044054,106.7411788;10.603076,106.7415048;10.6022859,106.7417114;10.6022267,106.7417269;10.6015153,106.741913;10.6010162,106.7420132;10.6006577,106.7420852",,,secondary
Duyên Hải,106.8813091,10.3802543,106.9081106,10.3845474,"10.3802543,106.8813091;10.3803773,106.8814956;10.3804493,106.8816377;10.3804835,106.8817631;10.3804884,106.8819139;10.3804672,106.8820789;10.3803794,106.8822804;10.3802941,106.882467;10.3801674,106.8827435;10.3799247,106.8831461;10.3796603,106.883823;10.3795197,106.8842531;10.3793704,106.8846553;10.3791937,106.8851398;10.3791483,106.8852643;10.37906,106.8855412;10.379026,106.8857177;10.379,106.8858777;10.3789974,106.8859884;10.3790043,106.8860676;10.3790539,106.8861564;10.3791478,106.8862325;10.3796775,106.8864605;10.3799589,106.8865816;10.3806484,106.8868983;10.3808951,106.8870071;10.3813569,106.8872108;10.381538,106.8872838;10.3818412,106.8874091;10.3820567,106.8875096;10.3821572,106.8876016;10.3822065,106.8876728;10.3821411,106.887961;10.3819766,106.8885932;10.3816976,106.8897144;10.381656,106.8898689;10.3814627,106.8905974;10.3813924,106.8908619;10.3809485,106.8926699;10.3809201,106.892781;10.3805351,106.8942876;10.3804153,106.894816;10.3800497,106.8962405;10.3800196,106.8963947;10.3796388,106.8980639;10.3794594,106.8987855;10.379388,106.8991182;10.3792915,106.8996318;10.3792176,106.9000204;10.3791916,106.9001515;10.3791795,106.900419;10.3791701,106.900717;10.3791597,106.9008773;10.3791678,106.901016;10.3792103,106.9011541;10.3792552,106.9012387;10.3793053,106.9013019;10.3795719,106.9015491;10.3797352,106.9016769;10.3811345,106.9028325;10.3813136,106.902988;10.3816369,106.9032365;10.3819491,106.9034907;10.3822614,106.903745;10.3829078,106.9043219;10.3830274,106.9044245;10.383077,106.9044766;10.3831154,106.9045324;10.383219,106.9047679;10.3833558,106.9051097;10.3834089,106.9052668;10.3835594,106.9057116;10.3836059,106.9058313;10.3841274,106.9073034;10.3843203,106.9077097;10.3843767,106.9078113;10.3845474,106.9081106",,,secondary
Đường số 1,106.744928,10.6406432,106.7456692,10.6397434,"10.6406432,106.744928;10.6398399,106.7456019;10.6397434,106.7456692",,yes,primary
Giồng Ao,106.9469948,10.408267,106.9614111,10.4147317,"10.408267,106.9469948;10.4091506,106.9468192;10.4100954,106.9466265;10.4102207,106.9465981;10.4109468,106.9464582;10.4114195,106.9483615;10.4114519,106.94849;10.4121185,106.9511378;10.4121482,106.9512558;10.4122691,106.9518021;10.4125231,106.952791;10.4125488,106.9528831;10.4126001,106.953065;10.412629,106.9531657;10.4127528,106.9536574;10.4131849,106.9553719;10.413216,106.9554695;10.4136507,106.9572213;10.4136921,106.9573882;10.4137735,106.9576969;10.4138829,106.9581115;10.4139494,106.9583634;10.4140491,106.9587414;10.4141465,106.9591105;10.4143445,106.9598608;10.4144824,106.9604052;10.4145005,106.9604764;10.4147317,106.9614111",,,tertiary
Đào Cử,106.9726858,10.4151048,106.9648727,10.4105096,"10.4151048,106.9726858;10.4145315,106.9715785;10.414017,106.9706543;10.4138231,106.9703086;10.4135896,106.9698606;10.4134572,106.9695977;10.4133369,106.9693904;10.4132656,106.9692909;10.4131817,106.9691914;10.4124818,106.9683854;10.4123355,106.9681757;10.4122368,106.9680161;10.4121359,106.9678219;10.4120055,106.9675212;10.411796,106.9670505;10.4115999,106.9666595;10.4115489,106.9665597;10.4114711,106.9664078;10.4113813,106.9662246;10.4112726,106.9660243;10.4111716,106.9658609;10.4110565,106.9657048;10.4109296,106.9655405;10.4108101,106.965385;10.4107074,106.9652336;10.4106108,106.9650828;10.4105096,106.9648727",,,tertiary
Nguyễn Văn Mạnh,106.9081106,10.3845474,106.9125145,10.3890143,"10.3845474,106.9081106;10.3850791,106.9091827;10.3851818,106.9093937;10.3852771,106.9095942;10.3852941,106.909661;10.3853058,106.9097854;10.3852896,106.9099636;10.3852626,106.9101664;10.3852414,106.910314;10.3852124,106.910463;10.3851777,106.9106618;10.3851618,106.910744;10.3851511,106.9108633;10.385148,106.9109511;10.3851597,106.911047;10.3852119,106.9111633;10.3855646,106.911419;10.3858241,106.9116215;10.3860381,106.9117846;10.3863357,106.9120091;10.3864465,106.9120954;10.3865547,106.9121602;10.3866462,106.9122209;10.3867483,106.9122574;10.3869559,106.9123262;10.3876058,106.9125418;10.3878852,106.9126679;10.3880477,106.9127628;10.3881,106.9127933;10.3882587,106.9128478;10.3883963,106.9128468;10.3885727,106.9127848;10.3887414,106.9127038;10.3890143,106.9125145",,,tertiary
